Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
S,S75X11.2,1420,76.2,76.2,63.5,9.52,6.35,–,–,38.5,31.8,29.2,0.241,13.5,7.55,13.0,–,–,–,37.3,0.290
S,S75X8.5,1070,76.2,76.2,60.3,4.76,6.35,–,–,31.8,27.4,31.2,0.186,10.7,6.28,13.2,–,–,–,18.0,0.225
S,S24X121,121,35.5,24.5,8.05,0.800,1.09,–,25.9,3160,306,258,9.43,83.0,36.3,20.6,1.53,–,–,–,12.8
S,S24X106,106,31.1,24.5,7.87,0.620,1.09,–,33.4,2940,279,240,9.71,76.8,33.4,19.5,1.57,–,–,–,10.1
S,S24X100,100,29.3,24.0,7.25,0.745,0.870,–,27.8,2380,239,199,9.01,47.4,24.0,13.1,1.27,–,–,–,7.59
S,S24X90,90.0,26.5,24.0,7.13,0.625,0.870,–,33.1,2250,222,187,9.21,44.7,22.4,12.5,1.30,–,–,–,6.05
S,S24X80,80.0,23.5,24.0,7.00,0.500,0.870,–,41.4,2100,204,175,9.47,42.0,20.8,12.0,1.34,–,–,–,4.89
S,S20X96,96.0,28.2,20.3,7.20,0.800,0.920,–,21.1,1670,198,165,7.71,49.9,24.9,13.9,1.33,–,–,–,8.40
S,S20X86,86.0,25.3,20.3,7.06,0.660,0.920,–,25.6,1570,183,155,7.89,46.6,23.1,13.2,1.36,–,–,–,6.65
S,S20X75,75.0,22.0,20.0,6.39,0.635,0.795,–,26.6,1280,152,128,7.62,29.5,16.7,9.25,1.16,–,–,–,4.59
S,S20X66,66.0,19.4,20.0,6.26,0.505,0.795,–,33.5,1190,139,119,7.83,27.5,15.4,8.78,1.19,–,–,–,3.58
S,S18X70,70.0,20.5,18.0,6.25,0.711,0.691,–,21.5,923,124,103,6.70,24.0,14.3,7.69,1.08,–,–,–,4.10
S,S18X54.7,54.7,16.0,18.0,6.00,0.461,0.691,–,33.2,801,104,89.0,7.07,20.7,12.1,6.91,1.14,–,–,–,2.33
S,S15X50,50.0,14.7,15.0,5.64,0.550,0.622,–,22.7,485,77.0,64.7,5.75,15.6,10.0,5.53,1.03,–,–,–,2.12
S,S15X42.9,42.9,12.6,15.0,5.50,0.411,0.622,–,30.4,446,69.2,59.4,5.95,14.3,9.08,5.19,1.06,–,–,–,1.54
S,S12X50,50.0,14.7,12.0,5.48,0.687,0.659,–,13.7,303,60.9,50.6,4.55,15.6,10.3,5.69,1.03,–,–,–,2.77
S,S12X40.8,40.8,11.9,12.0,5.25,0.462,0.659,–,20.6,270,52.7,45.1,4.76,13.5,8.86,5.13,1.06,–,–,–,1.69
S,S12X35,35.0,10.2,12.0,5.08,0.428,0.544,–,23.1,228,44.6,38.1,4.72,9.84,6.80,3.88,0.980,–,–,–,1.05
S,S12X31.8,31.8,9.31,12.0,5.00,0.350,0.544,–,28.3,217,41.8,36.2,4.83,9.33,6.44,3.73,1.00,–,–,–,0.878
S,S10X35,35.0,10.3,10.0,4.94,0.594,0.491,–,13.4,147,35.4,29.4,3.78,8.30,6.19,3.36,0.899,–,–,–,1.29
S,S10X25.4,25.4,7.45,10.0,4.66,0.311,0.491,–,25.6,123,28.3,24.6,4.07,6.73,4.99,2.89,0.950,–,–,–,0.603
S,S8X23,23.0,6.76,8.00,4.17,0.441,0.425,–,14.1,64.7,19.2,16.2,3.09,4.27,3.67,2.05,0.795,–,–,–,0.550
S,S8X18.4,18.4,5.40,8.00,4.00,0.271,0.425,–,22.9,57.5,16.5,14.4,3.26,3.69,3.18,1.84,0.827,–,–,–,0.335
S,S6X17.25,17.25,5.05,6.00,3.57,0.465,0.359,–,9.67,26.2,10.5,8.74,2.28,2.29,2.35,1.28,0.673,–,–,–,0.371
S,S6X12.5,12.5,3.66,6.00,3.33,0.232,0.359,–,19.4,22.0,8.45,7.34,2.45,1.80,1.86,1.08,0.702,–,–,–,0.167
S,S5X10,10.0,2.93,5.00,3.00,0.214,0.326,–,16.8,12.3,5.66,4.90,2.05,1.19,1.37,0.795,0.638,–,–,–,0.114
S,S4X9.5,9.50,2.79,4.00,2.80,0.326,0.293,–,8.33,6.76,4.04,3.38,1.56,0.887,1.13,0.635,0.564,–,–,–,0.120
S,S4X7.7,7.70,2.26,4.00,2.66,0.193,0.293,–,14.1,6.05,3.50,3.03,1.64,0.748,0.970,0.562,0.576,–,–,–,0.0732
S,S3X7.5,7.50,2.20,3.00,2.51,0.349,0.260,–,5.38,2.91,2.35,1.94,1.15,0.578,0.821,0.461,0.513,–,–,–,0.0896
S,S3X5.7,5.70,1.66,3.00,2.33,0.170,0.260,–,11.0,2.50,1.94,1.67,1.23,0.447,0.656,0.383,0.518,–,–,–,0.0433
HP,HP460X304,38800,465,464,460,28.6,28.6,–,–,7100,6230,193,466,3130,2030,109,–,–,–,12300,22200
HP,HP460X269,34300,457,457,457,25.4,25.4,–,–,6210,5510,191,405,2740,1770,109,–,–,–,8620,18900
HP,HP460X234,29800,451,451,454,22.2,22.2,–,–,5360,4750,189,347,2340,1530,108,–,–,–,5790,15800
HP,HP460X202,25700,445,444,451,19.0,19.0,–,–,4600,4110,189,294,2000,1300,107,–,–,–,3800,13300
HP,HP410X272,34900,419,419,419,28.6,28.6,–,–,5720,4980,173,340,2560,1640,98.8,–,–,–,11200,13000
HP,HP410X242,30800,414,413,410,25.4,25.4,–,–,5010,4410,172,290,2200,1420,97.0,–,–,–,7830,11000
HP,HP410X211,26900,406,406,406,22.2,22.2,–,–,4330,3830,170,249,1900,1230,96.3,–,–,–,5370,9210
HP,HP410X181,23100,401,400,403,19.0,19.0,–,–,3700,3290,169,210,1600,1040,95.3,–,–,–,3480,7650
HP,HP410X151,19300,394,394,400,15.9,15.9,–,–,3060,2750,167,171,1310,855,94.2,–,–,–,2110,6120
HP,HP410X131,16600,389,391,398,14.3,14.3,–,–,2640,2380,167,145,1120,729,93.5,–,–,–,1440,5100
HP,HP360X174,22200,361,362,378,20.6,20.6,–,–,3180,2820,151,184,1500,975,91.2,–,–,–,3340,5340
HP,HP360X152,19400,356,356,375,17.5,17.5,–,–,2770,2460,150,158,1290,842,90.4,–,–,–,2240,4510
HP,HP360X132,16800,351,352,375,15.9,15.9,–,–,2390,2150,149,136,1110,726,89.7,–,–,–,1490,3810
HP,HP360X108,13800,345,346,371,12.7,12.7,–,–,1930,1750,148,109,895,587,88.6,–,–,–,837,3010
HP,HP310X132,16700,315,314,314,19.1,19.1,–,–,2080,1840,131,93.2,918,597,74.7,–,–,–,2050,2050
HP,HP310X125,15900,312,311,311,17.5,17.5,–,–,1970,1740,131,88.7,872,567,74.7,–,–,–,1760,1920
HP,HP310X110,14100,307,308,311,15.9,15.9,–,–,1720,1540,130,77.4,764,498,74.2,–,–,–,1240,1650
HP,HP310X93,11900,302,305,308,12.7,12.7,–,–,1450,1300,129,63.7,634,415,73.2,–,–,–,762,1340
HP,HP310X79,10000,300,298,305,11.1,11.1,–,–,1210,1090,128,52.9,528,346,72.6,–,–,–,466,1100
HP,HP250X85,10800,254,254,260,14.3,14.3,–,–,1090,964,106,42.0,497,323,62.2,–,–,–,820,602
HP,HP250X62,8000,246,248,257,11.1,11.1,–,–,791,711,105,29.8,357,233,61.2,–,–,–,338,414
HP,HP200X53,6840,204,203,206,11.1,11.1,–,–,551,488,85.3,16.8,249,162,49.5,–,–,–,320,155
HP,HP18X204,204,60.2,18.3,18.1,1.13,1.13,–,12.1,3480,433,380,7.60,1120,191,124,4.31,–,–,–,29.5
HP,HP18X181,181,53.2,18.0,18.0,1.00,1.00,–,13.6,3020,379,336,7.53,974,167,108,4.28,–,–,–,20.7
HP,HP18X157,157,46.2,17.7,17.9,0.870,0.870,–,15.6,2570,327,290,7.46,833,143,93.1,4.25,–,–,–,13.9
HP,HP18X135,135,39.9,17.5,17.8,0.750,0.750,–,18.2,2200,281,251,7.43,706,122,79.3,4.21,–,–,–,9.12
HP,HP16X183,183,54.1,16.5,16.3,1.13,1.13,–,10.5,2510,349,304,6.81,818,156,100.0,3.89,–,–,–,26.9
HP,HP16X162,162,47.7,16.3,16.1,1.00,1.00,–,11.9,2190,306,269,6.78,697,134,86.6,3.82,–,–,–,18.8
HP,HP16X141,141,41.7,16.0,16.0,0.875,0.875,–,13.6,1870,264,234,6.70,599,116,74.9,3.79,–,–,–,12.9
HP,HP16X121,121,35.8,15.8,15.9,0.750,0.750,–,15.9,1590,226,201,6.66,504,97.6,63.4,3.75,–,–,–,8.35
HP,HP16X101,101,29.9,15.5,15.8,0.625,0.625,–,19.0,1300,187,168,6.59,412,80.1,52.2,3.71,–,–,–,5.07
HP,HP16X88,88.0,25.8,15.3,15.7,0.540,0.540,–,22.0,1110,161,145,6.56,349,68.2,44.5,3.68,–,–,–,3.45
HP,HP14X117,117,34.4,14.2,14.9,0.805,0.805,–,14.2,1220,194,172,5.96,443,91.4,59.5,3.59,–,–,–,8.02
HP,HP14X102,102,30.1,14.0,14.8,0.705,0.705,–,16.2,1050,169,150,5.92,380,78.8,51.4,3.56,–,–,–,5.39
HP,HP14X89,89.0,26.1,13.8,14.7,0.615,0.615,–,18.5,904,146,131,5.88,326,67.7,44.3,3.53,–,–,–,3.59
HP,HP14X73,73.0,21.4,13.6,14.6,0.505,0.505,–,22.6,729,118,107,5.84,261,54.6,35.8,3.49,–,–,–,2.01
HP,HP12X89,89.0,25.9,12.4,12.3,0.720,0.720,–,13.6,693,127,112,5.17,224,56.0,36.4,2.94,–,–,–,4.92
HP,HP12X84,84.0,24.6,12.3,12.3,0.685,0.685,–,14.2,650,120,106,5.14,213,53.2,34.6,2.94,–,–,–,4.24
HP,HP12X74,74.0,21.8,12.1,12.2,0.605,0.610,–,16.1,569,105,93.8,5.11,186,46.6,30.4,2.92,–,–,–,2.98
HP,HP12X63,63.0,18.4,11.9,12.1,0.515,0.515,–,18.9,472,88.3,79.1,5.06,153,38.7,25.3,2.88,–,–,–,1.83
HP,HP12X53,53.0,15.5,11.8,12.0,0.435,0.435,–,22.3,393,74.0,66.7,5.03,127,32.2,21.1,2.86,–,–,–,1.12
HP,HP10X57,57.0,16.7,9.99,10.2,0.565,0.565,–,13.9,294,66.5,58.8,4.18,101,30.3,19.7,2.45,–,–,–,1.97
HP,HP10X42,42.0,12.4,9.70,10.1,0.415,0.420,–,18.9,210,48.3,43.4,4.13,71.7,21.8,14.2,2.41,–,–,–,0.813
HP,HP8X36,36.0,10.6,8.02,8.16,0.445,0.445,–,14.2,119,33.6,29.8,3.36,40.3,15.2,9.88,1.95,–,–,–,0.770
C,C380X74,9480,381,381,95.2,17.5,15.9,–,–,1120,882,133,4.58,133,61.8,22.0,–,–,–,1100,132
C,C380X60,7610,381,381,88.9,12.7,15.9,–,–,942,762,138,3.82,112,54.7,22.4,–,–,–,604,110
C,C380X50.4,6450,381,381,85.7,9.52,15.9,–,–,832,688,142,3.36,101,50.6,22.9,–,–,–,420,96.1
C,C310X45,5680,305,305,79.4,12.7,12.7,–,–,554,442,109,2.13,70.8,33.6,19.4,–,–,–,358,40.5
C,C310X37,4740,305,305,76.2,9.52,12.7,–,–,482,393,113,1.85,62.6,30.6,19.8,–,–,–,224,34.9
C,C310X30.8,3920,305,305,76.2,7.94,12.7,–,–,420,352,117,1.61,56.9,28.2,20.2,–,–,–,154,30.1
C,C250X45,5680,254,254,76.2,17.5,11.1,–,–,438,339,87.1,1.64,61.9,27.0,17.0,–,–,–,508,21.3
C,C250X37,4740,254,254,73.0,12.7,11.1,–,–,379,298,89.4,1.39,52.1,24.1,17.1,–,–,–,286,18.3
C,C250X30,3790,254,254,69.8,9.52,11.1,–,–,318,259,93.2,1.17,44.2,21.5,17.5,–,–,–,153,15.3
C,C250X22.8,2890,254,254,66.7,6.35,11.1,–,–,261,221,98.6,0.945,38.3,18.8,18.1,–,–,–,87.0,12.2
C,C230X30,3790,229,229,66.7,11.1,11.1,–,–,277,221,81.8,1.00,40.3,19.2,16.3,–,–,–,178,10.6
C,C230X22,2840,229,229,63.5,7.94,11.1,–,–,223,185,86.4,0.795,33.4,16.6,16.7,–,–,–,86.6,8.32
C,C230X19.9,2540,229,229,60.3,6.35,11.1,–,–,206,174,88.4,0.728,31.8,15.6,16.9,–,–,–,69.9,7.57
C,C200X27.9,3550,203,203,63.5,12.7,9.52,–,–,228,180,71.6,0.820,35.6,16.6,15.2,–,–,–,181,6.74
C,C200X20.5,2600,203,203,60.3,7.94,9.52,–,–,180,148,75.9,0.633,28.3,13.9,15.6,–,–,–,77.4,5.16
C,C200X17.1,2170,203,203,57.2,6.35,9.52,–,–,158,133,79.0,0.545,25.7,12.7,15.8,–,–,–,54.1,4.43
C,C180X22,2790,178,178,57.2,11.1,9.52,–,–,160,127,63.8,0.570,26.7,12.7,14.2,–,–,–,111,3.52
C,C180X18.2,2320,178,178,57.2,7.94,9.52,–,–,139,113,65.8,0.483,23.3,11.4,14.4,–,–,–,67.0,3.01
C,C180X14.6,1850,178,178,54.0,4.76,9.52,–,–,118,99.5,69.1,0.398,20.6,10.1,14.7,–,–,–,41.5,2.46
C,C150X19.3,2460,152,152,54.0,11.1,7.94,–,–,119,94.7,54.1,0.437,22.1,10.5,13.3,–,–,–,98.6,1.93
C,C150X15.6,1980,152,152,50.8,7.94,7.94,–,–,101,82.6,56.4,0.358,18.7,9.19,13.4,–,–,–,53.3,1.59
C,C150X12.2,1540,152,152,47.6,4.76,7.94,–,–,84.6,71.3,59.4,0.286,16.2,8.00,13.6,–,–,–,30.6,1.26
C,C130X13,1700,127,127,47.6,7.94,7.94,–,–,71.9,58.3,46.7,0.260,15.0,7.28,12.3,–,–,–,45.4,0.787
C,C130X10.4,1270,127,127,44.4,4.76,7.94,–,–,58.2,49.0,49.5,0.196,12.4,6.10,12.4,–,–,–,22.9,0.596
C,C100X10.8,1370,102,102,44.4,7.94,7.94,–,–,46.5,37.5,37.3,0.177,11.4,5.52,11.4,–,–,–,34.0,0.333
C,C100X9.3,1190,102,102,41.3,6.35,7.94,–,–,41.8,34.4,38.4,0.156,10.2,5.11,11.5,–,–,–,22.8,0.287
C,C100X8,1020,102,102,41.3,4.76,7.94,–,–,37.5,31.5,39.6,0.130,9.26,4.54,11.3,–,–,–,16.6,0.247
C,C100X6.7,865,102,102,38.1,3.18,7.94,–,–,33.6,29.0,41.1,0.110,8.11,4.15,11.3,–,–,–,12.7,0.209
C,C75X8.9,1140,76.2,76.2,41.3,9.52,6.35,–,–,28.5,22.6,27.7,0.125,8.90,4.31,10.5,–,–,–,30.2,0.124
C,C75X7.4,948,76.2,76.2,38.1,6.35,6.35,–,–,24.9,20.2,28.4,0.100,7.60,3.74,10.3,–,–,–,17.7,0.102
C,C75X6.1,774,76.2,76.2,34.9,4.76,6.35,–,–,21.6,18.0,30.0,0.0795,6.54,3.21,10.1,–,–,–,11.2,0.0824
C,C75X5.2,703,76.2,76.2,34.9,3.18,6.35,–,–,20.3,17.0,30.5,0.0703,5.96,2.98,10.0,–,–,–,9.41,0.0741
C,C15X50,50.0,14.7,15.0,3.72,0.716,0.650,5.72,17.7,404,68.5,53.8,5.24,11.0,8.14,3.77,0.865,–,–,–,2.65
C,C15X40,40.0,11.8,15.0,3.52,0.520,0.650,5.42,24.4,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,–,–,–,1.45
C,C15X33.9,33.9,10.0,15.0,3.40,0.400,0.650,5.23,31.8,315,50.8,42.0,5.61,8.07,6.19,3.09,0.901,–,–,–,1.01
C,C12X30,30.0,8.81,12.0,3.17,0.510,0.501,6.33,20.1,162,33.8,27.0,4.29,5.12,4.32,2.05,0.762,–,–,–,0.861
C,C12X25,25.0,7.34,12.0,3.05,0.387,0.501,6.09,26.5,144,29.4,24.0,4.43,4.45,3.82,1.87,0.779,–,–,–,0.538
C,C12X20.7,20.7,6.08,12.0,2.94,0.282,0.501,5.87,36.3,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,–,–,–,0.369
C,C10X30,30.0,8.81,10.0,3.03,0.673,0.436,6.95,12.6,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,–,–,–,1.22
C,C10X25,25.0,7.35,10.0,2.89,0.526,0.436,6.63,16.1,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,–,–,–,0.687
C,C10X20,20.0,5.87,10.0,2.74,0.379,0.436,6.28,22.3,78.9,19.4,15.8,3.67,2.80,2.70,1.31,0.690,–,–,–,0.368
C,C10X15.3,15.3,4.48,10.0,2.60,0.240,0.436,5.96,35.3,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,–,–,–,0.209
C,C9X20,20.0,5.87,9.00,2.65,0.448,0.413,6.42,16.8,60.9,16.9,13.5,3.22,2.41,2.46,1.17,0.640,–,–,–,0.427
C,C9X15,15.0,4.40,9.00,2.49,0.285,0.413,6.03,26.4,51.0,13.6,11.3,3.40,1.91,2.04,1.01,0.659,–,–,–,0.208
C,C9X13.4,13.4,3.94,9.00,2.43,0.233,0.413,5.88,32.2,47.8,12.6,10.6,3.48,1.75,1.94,0.954,0.666,–,–,–,0.168
C,C8X18.75,18.75,5.51,8.00,2.53,0.487,0.390,6.49,13.5,43.9,13.9,11.0,2.82,1.97,2.17,1.01,0.598,–,–,–,0.434
C,C8X13.75,13.75,4.03,8.00,2.34,0.303,0.390,6.00,21.8,36.1,11.0,9.02,2.99,1.52,1.73,0.848,0.613,–,–,–,0.186
C,C8X11.5,11.5,3.37,8.00,2.26,0.220,0.390,5.79,30.0,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130
C,C7X14.75,14.75,4.33,7.00,2.30,0.419,0.366,6.28,13.5,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267
C,C7X12.25,12.25,3.59,7.00,2.19,0.314,0.366,5.98,18.0,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161
C,C7X9.8,9.80,2.87,7.00,2.09,0.210,0.366,5.71,26.9,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996
C,C6X13,13.0,3.82,6.00,2.16,0.437,0.343,6.30,11.0,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,–,–,–,0.237
C,C6X10.5,10.5,3.07,6.00,2.03,0.314,0.343,5.92,15.3,15.1,6.18,5.04,2.22,0.860,1.14,0.561,0.529,–,–,–,0.128
C,C6X8.2,8.20,2.39,6.00,1.92,0.200,0.343,5.60,24.1,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,–,–,–,0.0736
C,C5X9,9.00,2.64,5.00,1.89,0.325,0.320,5.91,11.7,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,–,–,–,0.109
C,C5X6.7,6.70,1.97,5.00,1.75,0.190,0.320,5.47,20.0,7.48,3.55,2.99,1.95,0.470,0.757,0.372,0.489,–,–,–,0.0549
C,C4X7.25,7.25,2.13,4.00,1.72,0.321,0.296,5.81,8.90,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,–,–,–,0.0817
C,C4X6.25,6.25,1.84,4.00,1.65,0.247,0.296,5.57,11.5,4.19,2.55,2.10,1.51,0.374,0.623,0.312,0.451,–,–,–,0.0549
C,C4X5.4,5.40,1.58,4.00,1.58,0.184,0.296,5.34,15.5,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,–,–,–,0.0399
C,C4X4.5,4.50,1.34,4.00,1.52,0.125,0.296,5.14,22.8,3.53,2.05,1.77,1.62,0.265,0.495,0.253,0.445,–,–,–,0.0306
C,C3X6,6.00,1.76,3.00,1.60,0.356,0.273,5.86,5.38,2.07,1.74,1.38,1.09,0.300,0.543,0.263,0.413,–,–,–,0.0725
C,C3X5,5.00,1.47,3.00,1.50,0.258,0.273,5.49,7.42,1.85,1.52,1.23,1.12,0.241,0.464,0.228,0.405,–,–,–,0.0425
C,C3X4.1,4.10,1.20,3.00,1.41,0.170,0.273,5.16,11.3,1.65,1.32,1.10,1.18,0.191,0.399,0.196,0.398,–,–,–,0.0269
C,C3X3.5,3.50,1.09,3.00,1.37,0.132,0.273,5.02,14.5,1.57,1.24,1.04,1.20,0.169,0.364,0.182,0.394,–,–,–,0.0226
MC,MC460X86,11000,457,457,108,17.5,15.9,–,–,1560,1230,160,7.33,175,86.5,25.9,–,–,–,1170,287
MC,MC460X77.2,9870,457,457,105,15.9,15.9,–,–,1430,1140,163,6.78,162,82.3,26.2,–,–,–,845,265
MC,MC460X68.2,8710,457,457,102,12.7,15.9,–,–,1300,1050,166,6.20,150,78.2,26.7,–,–,–,604,241
MC,MC460X63.5,8130,457,457,102,11.1,15.9,–,–,1230,1010,169,5.95,145,76.0,27.2,–,–,–,512,229
MC,MC330X74,9480,330,330,111,20.6,15.9,–,–,996,791,117,6.83,167,78.2,26.9,–,–,–,1230,150
MC,MC330X60,7550,330,330,105,14.3,15.9,–,–,839,687,122,5.70,142,69.5,27.4,–,–,–,645,124
MC,MC330X52,6650,330,330,105,11.1,15.9,–,–,762,636,126,5.12,132,65.1,27.7,–,–,–,470,111
MC,MC330X47.3,6030,330,330,102,9.52,15.9,–,–,711,601,128,4.75,126,62.1,27.9,–,–,–,390,102
MC,MC310X74,9480,305,305,105,20.6,17.5,–,–,926,736,109,7.24,179,92.4,27.7,–,–,–,1340,110
MC,MC310X67,8520,305,305,102,17.5,17.5,–,–,852,687,111,6.58,166,86.9,27.7,–,–,–,970,100
MC,MC310X60,7610,305,305,98.4,14.3,17.5,–,–,782,639,113,5.91,153,81.6,27.9,–,–,–,703,90.2
MC,MC310X52,6650,305,305,95.2,11.1,17.5,–,–,708,590,117,5.24,141,76.0,28.2,–,–,–,516,79.8
MC,MC310X46,5880,305,305,92.1,9.52,17.5,–,–,651,552,120,4.70,134,71.6,28.2,–,–,–,416,71.7
MC,MC310X21.3,2700,305,305,54.0,6.35,7.94,–,–,261,208,108,0.416,19.8,9.41,12.4,–,–,–,48.7,8.81
MC,MC310X15.8,2000,305,305,38.1,4.76,7.94,–,–,190,151,107,0.157,10.4,5.03,8.86,–,–,–,24.8,3.14
MC,MC250X61.2,7810,254,254,111,20.6,14.3,–,–,644,516,91.7,6.53,156,79.5,29.0,–,–,–,941,72.2
MC,MC250X50,6370,254,254,105,14.3,14.3,–,–,552,456,95.3,5.45,136,71.3,29.2,–,–,–,499,60.2
MC,MC250X42.4,5400,254,254,102,11.1,14.3,–,–,492,415,98.8,4.70,124,65.4,29.5,–,–,–,329,51.8
MC,MC250X37,4740,254,254,85.7,9.52,14.3,–,–,429,361,98.3,3.02,92.6,48.5,25.2,–,–,–,266,33.3
MC,MC250X33,4160,254,254,85.7,7.94,14.3,–,–,392,336,101,2.66,86.7,45.1,25.3,–,–,–,212,29.5
MC,MC250X12.5,1590,254,254,38.1,4.76,6.35,–,–,130,105,91.7,0.136,8.98,4.39,9.25,–,–,–,17.2,1.88
MC,MC250X9.7,1260,254,254,28.6,3.18,4.76,–,–,96.7,75.2,87.1,0.0554,4.65,2.25,6.65,–,–,–,7.95,0.741
MC,MC230X37.8,4820,229,229,88.9,11.1,14.3,–,–,385,320,87.1,3.15,93.4,49.0,25.7,–,–,–,288,27.9
MC,MC230X35.6,4530,229,229,88.9,9.52,14.3,–,–,369,310,88.4,2.97,90.3,47.4,25.7,–,–,–,249,26.3
MC,MC200X33.9,4320,203,203,88.9,11.1,12.7,–,–,313,261,78.5,2.92,88.0,46.0,25.9,–,–,–,238,20.2
MC,MC200X31.8,4050,203,203,88.9,9.52,12.7,–,–,298,252,79.5,2.74,84.9,44.4,25.9,–,–,–,206,19.0
MC,MC200X29.8,3790,203,203,76.2,9.52,12.7,–,–,269,223,77.2,1.84,63.3,33.1,22.0,–,–,–,184,12.8
MC,MC200X27.8,3550,203,203,76.2,9.52,12.7,–,–,256,215,78.5,1.73,61.0,32.0,22.0,–,–,–,158,12.1
MC,MC200X12.6,1610,203,203,47.6,4.76,7.94,–,–,114,95.4,77.5,0.260,14.3,7.06,12.7,–,–,–,24.4,2.20
MC,MC180X33.8,4300,178,178,92.1,12.7,12.7,–,–,269,221,67.8,3.01,88.2,46.4,26.4,–,–,–,260,15.7
MC,MC180X28.4,3620,178,178,88.9,9.52,12.7,–,–,238,202,70.4,2.52,79.5,41.8,26.4,–,–,–,169,13.2
MC,MC150X26.8,3410,152,152,88.9,9.52,12.7,–,–,192,162,60.2,2.45,76.7,40.5,26.7,–,–,–,158,9.29
MC,MC150X22.8,2900,152,152,88.9,7.94,9.52,–,–,162,138,60.5,2.04,63.1,32.9,26.7,–,–,–,92.8,8.06
MC,MC150X24.3,3090,152,152,76.2,9.52,12.7,–,–,170,142,59.2,1.57,56.9,29.8,22.5,–,–,–,140,5.93
MC,MC150X22.5,2860,152,152,76.2,7.94,12.7,–,–,161,136,60.2,1.44,54.1,28.3,22.4,–,–,–,119,5.50
MC,MC150X17.9,2280,152,152,63.5,7.94,9.52,–,–,122,102,58.4,0.770,32.3,16.9,18.4,–,–,–,64.5,3.03
MC,MC150X10.4,1350,152,152,47.6,4.76,7.94,–,–,73.7,62.4,59.4,0.251,14.2,7.19,13.6,–,–,–,19.3,1.07
MC,MC150X9.7,1260,152,152,47.6,3.18,7.94,–,–,70.1,60.0,60.5,0.235,13.7,6.92,13.7,–,–,–,17.1,1.01
MC,MC100X20.5,2600,102,102,63.5,12.7,12.7,–,–,90.6,72.6,37.6,0.887,39.3,21.1,18.5,–,–,–,155,1.30
MC,MC75X10.6,1360,76.2,76.2,50.8,7.94,9.52,–,–,36.7,29.7,29.0,0.277,16.4,8.49,14.3,–,–,–,38.6,0.246
MC,MC18X58,58.0,17.1,18.0,4.20,0.700,0.625,6.72,22.1,675,95.4,75.0,6.29,17.6,10.7,5.28,1.02,–,–,–,2.81
MC,MC18X51.9,51.9,15.3,18.0,4.10,0.600,0.625,6.56,25.8,627,87.3,69.6,6.41,16.3,9.86,5.02,1.03,–,–,–,2.03
MC,MC18X45.8,45.8,13.5,18.0,4.00,0.500,0.625,6.40,31.0,578,79.2,64.2,6.55,14.9,9.14,4.77,1.05,–,–,–,1.45
MC,MC18X42.7,42.7,12.6,18.0,3.95,0.450,0.625,6.32,34.4,554,75.1,61.5,6.64,14.3,8.82,4.64,1.07,–,–,–,1.23
MC,MC13X50,50.0,14.7,13.0,4.41,0.787,0.610,7.23,13.7,314,60.8,48.3,4.62,16.4,10.2,4.77,1.06,–,–,–,2.96
MC,MC13X40,40.0,11.7,13.0,4.19,0.560,0.610,6.87,19.3,273,51.2,41.9,4.82,13.7,8.66,4.24,1.08,–,–,–,1.55
MC,MC13X35,35.0,10.3,13.0,4.07,0.447,0.610,6.67,24.2,252,46.5,38.8,4.95,12.3,8.04,3.97,1.09,–,–,–,1.13
MC,MC13X31.8,31.8,9.35,13.0,4.00,0.375,0.610,6.56,28.9,239,43.4,36.7,5.05,11.4,7.69,3.79,1.10,–,–,–,0.937
MC,MC12X50,50.0,14.7,12.0,4.14,0.835,0.700,5.91,11.5,269,56.5,44.9,4.28,17.4,10.9,5.64,1.09,–,–,–,3.23
MC,MC12X45,45.0,13.2,12.0,4.01,0.710,0.700,5.73,13.5,251,52.0,41.9,4.36,15.8,10.1,5.30,1.09,–,–,–,2.33
MC,MC12X40,40.0,11.8,12.0,3.89,0.590,0.700,5.56,16.3,234,47.7,39.0,4.46,14.2,9.31,4.98,1.10,–,–,–,1.69
MC,MC12X35,35.0,10.3,12.0,3.77,0.465,0.700,5.39,20.6,216,43.2,36.0,4.59,12.6,8.62,4.64,1.11,–,–,–,1.24
MC,MC12X31,31.0,9.12,12.0,3.67,0.370,0.700,5.24,25.9,202,39.7,33.7,4.71,11.3,8.15,4.37,1.11,–,–,–,1.00
