Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W14X53,53.0,15.6,13.9,8.06,0.370,0.660,–,30.9,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92,–,–,–,1.94
W,W14X48,48.0,14.1,13.8,8.03,0.340,0.595,–,33.6,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,–,–,–,1.45
W,W14X43,43.0,12.6,13.7,8.00,0.305,0.530,–,37.4,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,–,–,–,1.05
W,W14X38,38.0,11.2,14.1,6.77,0.310,0.515,–,39.6,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,–,–,–,0.798
W,W14X34,34.0,10.0,14.0,6.75,0.285,0.455,–,43.1,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,–,–,–,0.569
W,W14X30,30.0,8.85,13.8,6.73,0.270,0.385,–,45.4,291,47.3,42.0,5.73,19.6,8.99,5.82,1.49,–,–,–,0.380
W,W14X26,26.0,7.69,13.9,5.03,0.255,0.420,–,48.1,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,–,–,–,0.358
W,W14X22,22.0,6.49,13.7,5.00,0.230,0.335,–,53.3,199,33.2,29.0,5.54,7.00,4.39,2.80,1.04,–,–,–,0.208
W,W12X336,336,98.9,16.8,13.4,1.78,2.96,–,5.47,4060,603,483,6.41,1190,274,177,3.47,–,–,–,243
W,W12X305,305,89.5,16.3,13.2,1.63,2.71,–,5.98,3550,537,435,6.29,1050,244,159,3.42,–,–,–,185
W,W12X279,279,81.9,15.9,13.1,1.53,2.47,–,6.35,3110,481,393,6.16,937,220,143,3.38,–,–,–,143
W,W12X252,252,74.1,15.4,13.0,1.40,2.25,–,6.96,2720,428,353,6.06,828,196,127,3.34,–,–,–,108
W,W12X230,230,67.7,15.1,12.9,1.29,2.07,–,7.56,2420,386,321,5.97,742,177,115,3.31,–,–,–,83.8
W,W12X210,210,61.8,14.7,12.8,1.18,1.90,–,8.23,2140,348,292,5.89,664,159,104,3.28,–,–,–,64.7
W,W12X190,190,56.0,14.4,12.7,1.06,1.74,–,9.16,1890,311,263,5.82,589,143,93.0,3.25,–,–,–,48.8
W,W12X170,170,50.0,14.0,12.6,0.960,1.56,–,10.1,1650,275,235,5.74,517,126,82.3,3.22,–,–,–,35.6
W,W12X152,152,44.7,13.7,12.5,0.870,1.40,–,11.2,1430,243,209,5.66,454,111,72.8,3.19,–,–,–,25.8
W,W12X136,136,39.9,13.4,12.4,0.790,1.25,–,12.3,1240,214,186,5.58,398,98.0,64.2,3.16,–,–,–,18.5
W,W12X120,120,35.2,13.1,12.3,0.710,1.11,–,13.7,1070,186,163,5.51,345,85.4,56.0,3.13,–,–,–,12.9
W,W12X106,106,31.2,12.9,12.2,0.610,0.990,–,15.9,933,164,145,5.47,301,75.1,49.3,3.11,–,–,–,9.13
W,W12X96,96.0,28.2,12.7,12.2,0.550,0.900,–,17.7,833,147,131,5.44,270,67.5,44.4,3.09,–,–,–,6.85
W,W12X87,87.0,25.6,12.5,12.1,0.515,0.810,–,18.9,740,132,118,5.38,241,60.4,39.7,3.07,–,–,–,5.10
W,W12X79,79.0,23.2,12.4,12.1,0.470,0.735,–,20.7,662,119,107,5.34,216,54.3,35.8,3.05,–,–,–,3.84
W,W12X72,72.0,21.1,12.3,12.0,0.430,0.670,–,22.6,597,108,97.4,5.31,195,49.2,32.4,3.04,–,–,–,2.93
W,W12X65,65.0,19.1,12.1,12.0,0.390,0.605,–,24.9,533,96.8,87.9,5.28,174,44.1,29.1,3.02,–,–,–,2.18
W,W12X58,58.0,17.0,12.2,10.0,0.360,0.640,–,27.0,475,86.4,78.0,5.28,107,32.5,21.4,2.51,–,–,–,2.10
W,W12X53,53.0,15.6,12.1,10.0,0.345,0.575,–,28.1,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48,–,–,–,1.58
W,W12X50,50.0,14.6,12.2,8.08,0.370,0.640,–,26.8,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,–,–,–,1.71
W,W12X45,45.0,13.1,12.1,8.05,0.335,0.575,–,29.6,348,64.2,57.7,5.15,50.0,19.0,12.4,1.95,–,–,–,1.26
W,W12X40,40.0,11.7,11.9,8.01,0.295,0.515,–,33.6,307,57.0,51.5,5.13,44.1,16.8,11.0,1.94,–,–,–,0.906
W,W12X35,35.0,10.3,12.5,6.56,0.300,0.520,–,36.2,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54,–,–,–,0.741
W,W12X30,30.0,8.79,12.3,6.52,0.260,0.440,–,41.8,238,43.1,38.6,5.21,20.3,9.56,6.24,1.52,–,–,–,0.457
W,W12X26,26.0,7.65,12.2,6.49,0.230,0.380,–,47.2,204,37.2,33.4,5.17,17.3,8.17,5.34,1.51,–,–,–,0.300
W,W12X22,22.0,6.48,12.3,4.03,0.260,0.425,–,41.8,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848,–,–,–,0.293
W,W12X19,19.0,5.57,12.2,4.01,0.235,0.350,–,46.2,130,24.7,21.3,4.82,3.76,2.98,1.88,0.822,–,–,–,0.180
W,W12X16,16.0,4.71,12.0,3.99,0.220,0.265,–,49.4,103,20.1,17.1,4.67,2.82,2.26,1.41,0.773,–,–,–,0.103
W,W12X14,14.0,4.16,11.9,3.97,0.200,0.225,–,54.3,88.6,17.4,14.9,4.62,2.36,1.90,1.19,0.753,–,–,–,0.0704
W,W10X112,112,32.9,11.4,10.4,0.755,1.25,–,10.4,716,147,126,4.66,236,69.2,45.3,2.68,–,–,–,15.1
W,W10X100,100,29.3,11.1,10.3,0.680,1.12,–,11.6,623,130,112,4.60,207,61.0,40.0,2.65,–,–,–,10.9
W,W10X88,88.0,26.0,10.8,10.3,0.605,0.990,–,13.0,534,113,98.5,4.54,179,53.1,34.8,2.63,–,–,–,7.53
W,W10X77,77.0,22.7,10.6,10.2,0.530,0.870,–,14.8,455,97.6,85.9,4.49,154,45.9,30.1,2.60,–,–,–,5.11
W,W10X68,68.0,19.9,10.4,10.1,0.470,0.770,–,16.7,394,85.3,75.7,4.44,134,40.1,26.4,2.59,–,–,–,3.56
W,W10X60,60.0,17.7,10.2,10.1,0.420,0.680,–,18.7,341,74.6,66.7,4.39,116,35.0,23.0,2.57,–,–,–,2.48
W,W10X54,54.0,15.8,10.1,10.0,0.370,0.615,–,21.2,303,66.6,60.0,4.37,103,31.3,20.6,2.56,–,–,–,1.82
W,W10X49,49.0,14.4,10.0,10.0,0.340,0.560,–,23.1,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,–,–,–,1.39
W,W10X45,45.0,13.3,10.1,8.02,0.350,0.620,–,22.5,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,–,–,–,1.51
W,W10X39,39.0,11.5,9.92,7.99,0.315,0.530,–,25.0,209,46.8,42.1,4.27,45.0,17.2,11.3,1.98,–,–,–,0.976
W,W10X33,33.0,9.71,9.73,7.96,0.290,0.435,–,27.1,171,38.8,35.0,4.19,36.6,14.0,9.20,1.94,–,–,–,0.583
W,W10X30,30.0,8.84,10.5,5.81,0.300,0.510,–,29.5,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,–,–,–,0.622
W,W10X26,26.0,7.61,10.3,5.77,0.260,0.440,–,34.0,144,31.3,27.9,4.35,14.1,7.50,4.89,1.36,–,–,–,0.402
W,W10X22,22.0,6.49,10.2,5.75,0.240,0.360,–,36.9,118,26.0,23.2,4.27,11.4,6.10,3.97,1.33,–,–,–,0.239
W,W10X19,19.0,5.62,10.2,4.02,0.250,0.395,–,35.4,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,–,–,–,0.233
W,W10X17,17.0,4.99,10.1,4.01,0.240,0.330,–,36.9,81.9,18.7,16.2,4.05,3.56,2.80,1.78,0.845,–,–,–,0.156
W,W10X15,15.0,4.41,9.99,4.00,0.230,0.270,–,38.5,68.9,16.0,13.8,3.95,2.89,2.30,1.45,0.810,–,–,–,0.104
W,W10X12,12.0,3.54,9.87,3.96,0.190,0.210,–,46.6,53.8,12.6,10.9,3.90,2.18,1.74,1.10,0.785,–,–,–,0.0547
W,W8X67,67.0,19.7,9.00,8.28,0.570,0.935,–,11.1,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12,–,–,–,5.05
W,W8X58,58.0,17.1,8.75,8.22,0.510,0.810,–,12.4,228,59.8,52.0,3.65,75.1,27.9,18.3,2.10,–,–,–,3.33
